Item id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Sales Total,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
469,38,12/4/19 14:08,12/4/19 14:07,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Hot Chocolate,,Hot,Coffee & Tea,Coffee,3.67,0,3.67,1,,0.33,FALSE,FALSE,FALSE,Tax Included,No Effect,
470,39,12/4/19 14:15,12/4/19 14:15,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,11,0,11,1,,0.98,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
471,39,12/4/19 14:15,12/4/19 14:15,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Avocado Toast,,All-Day Breakfast,Daytime,Food,9,0,9,1,,0.8,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
472,40,12/4/19 14:18,12/4/19 14:18,5E+17,Omar Casas,104,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Black Bean Burger,,Lunch,Daytime,Food,13,13,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
473,41,12/4/19 14:35,12/4/19 14:35,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Latte,,Coffee,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
474,35,12/4/19 14:37,12/4/19 13:49,5E+17,Sean Bethoulle,3,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Side Chips,,Lunch,Daytime,Food,4,0,4,1,,0.36,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
475,42,12/4/19 14:40,12/4/19 14:40,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Mini Jumelle,,Croissants,Pastries,Food,1.75,0,1.75,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
476,42,12/4/19 14:40,12/4/19 14:40,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.76,0,2.76,1,,0.24,FALSE,FALSE,FALSE,Tax Included,No Effect,
477,43,12/4/19 15:03,12/4/19 15:00,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Cappcucino,,Coffee,Coffee & Tea,Coffee,3.9,0,3.9,1,,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
478,44,12/4/19 15:07,12/4/19 15:07,5E+17,Sean Bethoulle,6,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Mini Jumelle,,Croissants,Pastries,Food,1.75,0,1.75,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
479,44,12/4/19 15:07,12/4/19 15:07,5E+17,Sean Bethoulle,6,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Hot Tea,,Hot,Coffee & Tea,Coffee,3.22,0,3.22,1,,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
480,45,12/4/19 15:17,12/4/19 15:17,5E+17,Sean Bethoulle,7,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Black Bean Burger,,Lunch,Daytime,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
481,39,12/4/19 15:26,12/4/19 14:15,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Chai Latte,,Hot,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
482,39,12/4/19 15:26,12/4/19 14:15,5E+17,Sean Bethoulle,4,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Drip Coffee,,Coffee,Coffee & Tea,Coffee,2.3,0,2.3,1,,0.2,FALSE,FALSE,FALSE,Tax Included,No Effect,
483,46,12/4/19 15:30,12/4/19 15:29,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Latte,,Coffee,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
484,47,12/4/19 15:37,12/4/19 15:36,5E+17,Sean Bethoulle,,,All Day,Take Out,5E+17,5E+17,5E+17,,,Banh Matter,,Lunch,Daytime,Food,13,0,13,1,,1.15,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
485,45,12/4/19 15:38,12/4/19 15:17,5E+17,Sean Bethoulle,7,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Hot Chocolate,,Hot,Coffee & Tea,Coffee,3.22,0,3.22,1,,0.28,FALSE,FALSE,FALSE,Tax Included,No Effect,
486,48,12/4/19 15:48,12/4/19 15:48,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Cappcucino,,Coffee,Coffee & Tea,Coffee,3.9,0,3.9,1,,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
487,49,12/4/19 15:52,12/4/19 15:52,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Mini Jumelle,,Croissants,Pastries,Food,1.75,0,1.75,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
488,49,12/4/19 15:52,12/4/19 15:52,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Mini Jumelle,,Croissants,Pastries,Food,1.75,0,1.75,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Included,No Effect,
489,49,12/4/19 15:52,12/4/19 15:52,5E+17,Sean Bethoulle,,,All Day,Dine In,5E+17,5E+17,5E+17,,,Hot Chocolate,,Hot,Coffee & Tea,Coffee,4.59,0,4.59,1,,0.41,FALSE,FALSE,FALSE,Tax Included,No Effect,
490,40,12/4/19 16:14,12/4/19 14:18,5E+17,Omar Casas,104,Dining Room,All Day,Dine In,5E+17,5E+17,5E+17,,,Rainbow Kale Salad,,Dinner Menu,Dinner,Food,13,13,0,1,,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
491,50,12/4/19 16:48,12/4/19 16:48,5E+17,Sean Bethoulle,,,Dinner,Dine In,5E+17,5E+17,5E+17,,,Cold Brew,,Cold,Coffee & Tea,Coffee,4.13,0,4.13,1,,0.37,FALSE,FALSE,FALSE,Tax Included,No Effect,
492,51,12/4/19 16:52,12/4/19 16:52,5E+17,Sean Bethoulle,,,Dinner,Dine In,5E+17,5E+17,5E+17,,,Cappcucino,,Coffee,Coffee & Tea,Coffee,3.9,0,3.9,1,,0.35,FALSE,FALSE,FALSE,Tax Included,No Effect,
